age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,income
39,6,13,4,0,1,4,1,2174,0,40,
50,5,13,2,3,0,4,1,0,0,13,
38,3,9,0,5,1,4,1,0,0,40,
53,3,7,2,5,0,2,1,0,0,40,
28,3,13,2,9,5,2,0,0,0,40,
37,3,14,2,3,5,4,0,0,0,40,
49,3,5,3,7,1,2,0,0,0,16,
52,5,9,2,3,0,4,1,0,0,45,
31,3,14,4,9,1,4,0,14084,0,50,
42,3,13,2,3,0,4,1,5178,0,40,
37,3,10,2,3,0,2,1,0,0,80,
30,6,13,2,9,0,1,1,0,0,40,
23,3,13,4,0,3,4,0,0,0,30,
32,3,12,4,11,1,2,1,0,0,50,
40,3,11,2,2,0,1,1,0,0,40,
34,3,4,2,13,0,0,1,0,0,45,
25,5,9,4,4,3,4,1,0,0,35,
32,3,9,4,6,4,4,1,0,0,40,
38,3,7,2,11,0,4,1,0,0,50,
43,5,14,0,3,4,4,0,0,0,45,
40,3,16,2,9,0,4,1,0,0,60,
54,3,9,5,7,4,2,0,0,0,20,
35,0,5,2,4,0,2,1,0,0,40,
43,3,7,2,13,0,4,1,0,2042,40,
59,3,9,0,12,4,4,0,0,0,40,
56,1,13,2,12,0,4,1,0,0,40,
19,3,9,4,2,3,4,1,0,0,40,
54,8,10,2,14,0,1,1,0,0,60,
39,3,9,0,3,1,4,1,0,0,80,
49,3,9,2,2,0,4,1,0,0,40,
23,1,12,4,10,1,4,1,0,0,52,
20,3,10,4,11,3,2,1,0,0,44,
45,3,13,0,3,3,4,1,0,1408,40,
30,0,10,2,0,3,4,1,0,0,40,
22,6,10,2,7,0,2,1,0,0,15,
48,3,7,4,6,4,4,1,0,0,40,
21,3,10,4,6,3,4,1,0,0,40,
19,3,9,1,0,5,4,0,0,0,25,
31,3,10,2,11,0,4,1,0,0,38,
48,5,12,2,9,0,4,1,0,0,40,
31,3,5,2,6,0,4,1,0,0,43,
53,5,13,2,9,0,4,1,0,0,40,
24,3,13,2,12,0,4,1,0,0,50,
49,3,9,5,0,4,4,0,0,0,40,
25,3,9,4,5,1,4,1,0,0,35,
57,0,13,2,9,0,2,1,0,0,40,
53,3,9,2,6,0,4,1,0,0,38,
44,3,14,0,3,4,4,0,0,0,40,
41,6,11,2,2,0,4,1,0,0,40,
29,3,11,4,9,1,4,1,0,0,43,
25,3,10,2,3,5,3,0,0,0,40,
18,3,9,4,7,3,4,0,0,0,30,
47,3,15,2,9,5,4,0,0,1902,60,
50,0,13,0,3,1,4,1,0,0,55,
47,4,9,0,3,1,4,1,0,0,60,
43,3,10,2,12,0,4,1,0,0,40,
46,3,3,2,6,0,4,1,0,0,40,
35,3,11,2,7,0,4,1,0,0,40,
